image_id,a,b,c,d,true_label,unicode
29,1324.0,202.0,140.0,96.0,以,U+4EE5
29,1315.0,309.0,141.0,103.0,億,U+5104
29,1336.0,555.0,128.0,134.0,數,U+6578
29,1335.0,670.0,127.0,143.0,計,U+8A08
29,1347.0,852.0,114.0,119.0,焉,U+7109
29,1173.0,209.0,163.0,114.0,冠,U+51A0
29,1185.0,336.0,117.0,158.0,帶,U+5E36
29,1183.0,491.0,135.0,123.0,搢,U+6422
29,1186.0,612.0,120.0,133.0,紳,U+7D33
29,1149.0,731.0,155.0,118.0,之,U+4E4B
29,256.0,964.0,23.0,45.0,之,U+4E4B
29,1185.0,846.0,148.0,106.0,人,U+4EBA
29,986.0,201.0,149.0,113.0,環,U+74B0
29,990.0,317.0,158.0,144.0,橋,U+6A4B
29,997.0,444.0,144.0,127.0,門,U+9580
29,989.0,563.0,147.0,97.0,而,U+800C
29,650.0,403.0,46.0,36.0,而,U+800C
29,325.0,885.0,30.0,22.0,而,U+800C
29,984.0,672.0,167.0,126.0,觀,U+89C0
29,998.0,800.0,142.0,119.0,聽,U+807D
29,991.0,899.0,139.0,145.0,者,U+8005
29,721.0,266.0,63.0,86.0,領,U+9818
29,470.0,464.0,64.0,51.0,領,U+9818
29,725.0,351.0,50.0,73.0,進,U+9032
29,727.0,434.0,74.0,54.0,曰,U+66F0
29,455.0,273.0,80.0,37.0,曰,U+66F0
29,493.0,534.0,62.0,39.0,曰,U+66F0
29,729.0,482.0,44.0,40.0,近,U+8FD1
29,728.0,529.0,52.0,58.0,來,U+4F86
29,720.0,599.0,61.0,50.0,累,U+7D2F
29,725.0,650.0,43.0,32.0,日,U+65E5
29,749.0,977.0,20.0,39.0,日,U+65E5
29,653.0,447.0,39.0,40.0,日,U+65E5
29,332.0,554.0,30.0,29.0,日,U+65E5
29,718.0,675.0,66.0,39.0,不,U+F967
29,723.0,727.0,49.0,41.0,得,U+5F97
29,705.0,775.0,81.0,55.0,瞻,U+77BB
29,715.0,840.0,72.0,47.0,望,U+671B
29,734.0,897.0,61.0,52.0,矣,U+77E3
29,725.0,941.0,54.0,38.0,昨,U+6628
29,644.0,277.0,59.0,64.0,喜,U+559C
29,647.0,349.0,63.0,47.0,雨,U+96E8
29,638.0,485.0,53.0,65.0,氣,U+6C23
29,578.0,207.0,43.0,103.0,氣,U+6C23
29,639.0,558.0,58.0,57.0,凄,U+51C4
29,630.0,623.0,92.0,78.0,冷,U+51B7
29,560.0,321.0,74.0,102.0,候,U+5019
29,578.0,421.0,49.0,57.0,如,U+5982
29,573.0,476.0,51.0,51.0,何,U+4F55
29,480.0,203.0,53.0,70.0,上,U+4E0A
29,478.0,326.0,60.0,57.0,無,U+7121
29,319.0,585.0,46.0,57.0,無,U+7121
29,477.0,386.0,70.0,79.0,事,U+4E8B
29,328.0,834.0,26.0,51.0,事,U+4E8B
29,407.0,207.0,47.0,45.0,大,U+5927
29,405.0,309.0,42.0,42.0,大,U+5927
29,408.0,491.0,45.0,39.0,大,U+5927
29,317.0,641.0,55.0,35.0,大,U+5927
29,402.0,259.0,52.0,40.0,王,U+738B
29,407.0,436.0,39.0,45.0,王,U+738B
29,397.0,365.0,66.0,49.0,妃,U+5983
29,386.0,533.0,79.0,54.0,妃,U+5983
29,403.0,589.0,40.0,29.0,平,U+5E73
29,390.0,624.0,59.0,39.0,安,U+5B89
29,315.0,682.0,44.0,43.0,段,U+6BB5
29,322.0,730.0,47.0,47.0,變,U+8B8A
29,297.0,779.0,74.0,64.0,通,U+901A
29,318.0,922.0,40.0,48.0,有,U+6709
29,249.0,844.0,32.0,45.0,有,U+6709
29,297.0,976.0,69.0,37.0,故,U+6545
29,239.0,576.0,64.0,45.0,會,U+6703
29,220.0,628.0,69.0,51.0,雖,U+96D6
29,238.0,672.0,43.0,52.0,未,U+672A
29,223.0,729.0,57.0,53.0,緊,U+7DCA
29,227.0,781.0,55.0,63.0,重,U+91CD
29,240.0,889.0,49.0,43.0,可,U+53EF
29,237.0,934.0,50.0,32.0,達,U+9054
57,761.0,185.0,90.0,108.0,左,U+5DE6
57,756.0,300.0,100.0,119.0,令,U+4EE4
57,609.0,188.0,135.0,151.0,啓,U+5553
57,497.0,925.0,139.0,136.0,啓,U+5553
57,633.0,339.0,114.0,93.0,曰,U+66F0
57,627.0,432.0,106.0,81.0,卽,U+537D
57,656.0,670.0,104.0,129.0,遠,U+9060
57,648.0,792.0,132.0,121.0,接,U+63A5
57,668.0,920.0,102.0,120.0,使,U+4F7F
57,381.0,535.0,90.0,127.0,使,U+4F7F
57,499.0,219.0,87.0,158.0,吳,U+5433
57,499.0,391.0,104.0,99.0,始,U+59CB
57,479.0,505.0,125.0,150.0,壽,U+58FD
57,496.0,667.0,118.0,84.0,等,U+7B49
57,499.0,764.0,126.0,94.0,狀,U+F9FA
57,374.0,228.0,86.0,162.0,則,U+5247
57,373.0,397.0,112.0,138.0,勅,U+52C5
57,366.0,673.0,121.0,139.0,到,U+5230
57,395.0,827.0,92.0,106.0,平,U+5E73
57,399.0,956.0,82.0,93.0,山,U+5C71
57,255.0,214.0,105.0,160.0,站,U+7AD9
57,268.0,384.0,79.0,120.0,各,U+5404
57,245.0,514.0,121.0,166.0,率,U+7387
57,265.0,672.0,103.0,167.0,支,U+652F
57,256.0,833.0,100.0,98.0,待,U+5F85
57,348.0,906.0,61.0,76.0,官,U+5B98
57,256.0,948.0,140.0,108.0,通,U+901A
26,1461.0,158.0,61.0,69.0,綏,U+7D8F
26,1470.0,216.0,39.0,42.0,期,U+671F
26,1080.0,978.0,64.0,41.0,期,U+671F
26,1473.0,253.0,49.0,64.0,來,U+4F86
26,1478.0,320.0,41.0,30.0,則,U+5247
26,687.0,254.0,51.0,27.0,則,U+5247
26,1462.0,340.0,54.0,43.0,動,U+52D5
26,603.0,727.0,61.0,50.0,動,U+52D5
26,513.0,378.0,59.0,65.0,動,U+52D5
26,1474.0,388.0,42.0,38.0,和,U+548C
26,1473.0,488.0,37.0,54.0,克,U+514B
26,1461.0,534.0,37.0,40.0,有,U+6709
26,346.0,216.0,46.0,31.0,有,U+6709
26,1461.0,579.0,46.0,48.0,孚,U+5B5A
26,1085.0,1010.0,64.0,73.0,孚,U+5B5A
26,1457.0,623.0,51.0,30.0,而,U+800C
26,1414.0,319.0,41.0,27.0,而,U+800C
26,1305.0,623.0,51.0,37.0,而,U+800C
26,1255.0,307.0,37.0,30.0,而,U+800C
26,1254.0,638.0,37.0,21.0,而,U+800C
26,1088.0,330.0,53.0,24.0,而,U+800C
26,1086.0,609.0,53.0,37.0,而,U+800C
26,1088.0,943.0,44.0,38.0,而,U+800C
26,998.0,320.0,48.0,33.0,而,U+800C
26,938.0,316.0,44.0,33.0,而,U+800C
26,936.0,961.0,42.0,29.0,而,U+800C
26,710.0,622.0,33.0,16.0,而,U+800C
26,584.0,332.0,43.0,24.0,而,U+800C
26,604.0,652.0,49.0,30.0,而,U+800C
26,426.0,311.0,37.0,40.0,而,U+800C
26,1449.0,649.0,66.0,41.0,從,U+5F9E
26,1467.0,689.0,61.0,53.0,化,U+5316
26,1449.0,906.0,68.0,40.0,化,U+5316
26,1077.0,854.0,71.0,45.0,化,U+5316
26,934.0,397.0,53.0,63.0,化,U+5316
26,1458.0,795.0,45.0,59.0,願,U+9858
26,1469.0,857.0,43.0,44.0,至,U+81F3
26,1477.0,939.0,17.0,42.0,之,U+4E4B
26,1407.0,631.0,37.0,28.0,之,U+4E4B
26,1402.0,944.0,34.0,32.0,之,U+4E4B
26,1297.0,293.0,76.0,47.0,之,U+4E4B
26,1305.0,388.0,62.0,48.0,之,U+4E4B
26,1312.0,941.0,30.0,34.0,之,U+4E4B
26,1263.0,942.0,21.0,41.0,之,U+4E4B
26,1169.0,293.0,28.0,45.0,之,U+4E4B
26,1169.0,596.0,20.0,45.0,之,U+4E4B
26,1162.0,937.0,36.0,34.0,之,U+4E4B
26,1106.0,893.0,32.0,50.0,之,U+4E4B
26,1006.0,933.0,39.0,36.0,之,U+4E4B
26,760.0,288.0,29.0,35.0,之,U+4E4B
26,767.0,616.0,33.0,33.0,之,U+4E4B
26,767.0,926.0,52.0,38.0,之,U+4E4B
26,714.0,939.0,25.0,42.0,之,U+4E4B
26,611.0,953.0,51.0,46.0,之,U+4E4B
26,521.0,299.0,28.0,32.0,之,U+4E4B
26,548.0,615.0,26.0,42.0,之,U+4E4B
26,1442.0,971.0,63.0,53.0,難,U+96E3
26,1451.0,1026.0,63.0,52.0,名,U+540D
26,1393.0,170.0,60.0,55.0,孰,U+5B70
26,1407.0,222.0,49.0,49.0,匪,U+532A
26,1413.0,273.0,43.0,46.0,德,U+5FB7
26,1398.0,481.0,67.0,50.0,德,U+5FB7
26,1080.0,796.0,61.0,54.0,德,U+5FB7
26,918.0,256.0,69.0,55.0,德,U+5FB7
26,746.0,687.0,77.0,53.0,德,U+5FB7
26,767.0,895.0,45.0,36.0,德,U+5FB7
26,591.0,401.0,54.0,42.0,德,U+5FB7
26,520.0,716.0,71.0,66.0,德,U+5FB7
26,528.0,894.0,71.0,43.0,德,U+5FB7
26,406.0,387.0,68.0,59.0,德,U+5FB7
26,1414.0,348.0,36.0,38.0,可,U+53EF
26,1083.0,162.0,51.0,41.0,可,U+53EF
26,945.0,537.0,42.0,34.0,可,U+53EF
26,686.0,169.0,35.0,37.0,可,U+53EF
26,1396.0,388.0,67.0,42.0,服,U+670D
26,1410.0,541.0,40.0,34.0,厥,U+53A5
26,1397.0,579.0,55.0,56.0,效,U+6548
26,1403.0,653.0,44.0,34.0,斯,U+65AF
26,1400.0,689.0,50.0,49.0,速,U+901F
26,1382.0,801.0,62.0,42.0,將,U+5C07
26,1403.0,850.0,35.0,33.0,取,U+53D6
26,1397.0,887.0,46.0,55.0,譬,U+8B6C
26,1383.0,986.0,58.0,33.0,何,U+4F55
26,1303.0,859.0,48.0,46.0,何,U+4F55
26,1248.0,858.0,42.0,37.0,何,U+4F55
26,1386.0,1038.0,59.0,30.0,以,U+4EE5
26,1308.0,210.0,56.0,46.0,風,U+98A8
26,1088.0,484.0,48.0,58.0,風,U+98A8
26,996.0,267.0,58.0,58.0,風,U+98A8
26,609.0,687.0,60.0,39.0,風,U+98A8
26,609.0,904.0,56.0,49.0,風,U+98A8
26,504.0,330.0,66.0,44.0,風,U+98A8
26,412.0,226.0,74.0,43.0,風,U+98A8
26,1310.0,259.0,42.0,39.0,行,U+884C
26,1305.0,339.0,52.0,42.0,習,U+7FD2
26,1284.0,476.0,85.0,70.0,編,U+7DE8
26,1304.0,553.0,56.0,31.0,四,U+56DB
26,515.0,226.0,44.0,34.0,四,U+56DB
26,1306.0,587.0,61.0,47.0,方,U+65B9
26,504.0,256.0,54.0,48.0,方,U+65B9
26,1300.0,651.0,65.0,55.0,摘,U+6458
26,1303.0,702.0,64.0,57.0,敷,U+6577
26,1299.0,798.0,65.0,66.0,紛,U+7D1B
26,1300.0,902.0,59.0,51.0,物,U+7269
26,1303.0,963.0,46.0,42.0,不,U+F967
26,1238.0,981.0,45.0,25.0,不,U+F967
26,1289.0,1019.0,77.0,63.0,被,U+88AB
26,1239.0,380.0,70.0,58.0,被,U+88AB
26,1232.0,156.0,64.0,61.0,憑,U+6191
26,1244.0,213.0,50.0,33.0,大,U+5927
26,1240.0,256.0,52.0,49.0,虛,U+865B
26,1233.0,340.0,62.0,40.0,遐,U+9050
26,1232.0,477.0,58.0,67.0,撓,U+6493
26,1235.0,542.0,58.0,34.0,萬,U+842C
26,1144.0,849.0,56.0,47.0,萬,U+842C
26,1229.0,579.0,59.0,62.0,彙,U+5F59
26,1241.0,654.0,55.0,51.0,披,U+62AB
26,1243.0,697.0,56.0,53.0,離,U+96E2
26,1235.0,805.0,56.0,51.0,諒,U+8AD2
26,1219.0,897.0,71.0,51.0,草,U+8349
26,1145.0,575.0,60.0,29.0,草,U+8349
